store_id,order_id,order_name,processed_at,created_at,state,country,financial_status,cancelled_at,gross_sales,discounts,shipping,taxable_sales,non_taxable_sales,tax_collected,total_sales
fabric_outlet,7504593289489,#11785,2026-03-31 21:59:22+00:00,2026-03-31 21:59:25+00:00,KS,US,paid,,9.99,0.0,6.95,9.99,0.0,0.0,16.94
fabric_outlet,7504567042321,#11784,2026-03-31 21:42:36+00:00,2026-03-31 21:42:39+00:00,TX,US,paid,,69.99,0.0,0.0,69.99,0.0,0.0,69.99
fabric_outlet,7504418341137,#11783,2026-03-31 20:17:38+00:00,2026-03-31 20:17:40+00:00,LA,US,paid,,39.96,0.0,6.95,39.96,0.0,0.0,46.91
fabric_outlet,7504417292561,#11782,2026-03-31 20:16:57+00:00,2026-03-31 20:17:00+00:00,TX,US,paid,,35.96,0.0,6.95,35.96,0.0,0.0,42.91
fabric_outlet,7504392356113,#11781,2026-03-31 20:04:11+00:00,2026-03-31 20:04:15+00:00,TX,US,paid,,82.64,5.0,0.0,87.64,0.0,0.0,77.64
fabric_outlet,7504349593873,#11780,2026-03-31 19:40:52+00:00,2026-03-31 19:40:53+00:00,KS,US,paid,,59.97,0.0,6.95,59.97,0.0,0.0,66.92
fabric_outlet,7504242344209,#11779,2026-03-31 18:43:45+00:00,2026-03-31 18:43:49+00:00,CA,US,paid,,27.98,0.0,6.95,27.98,0.0,0.0,34.93
fabric_outlet,7503943729425,#11778,2026-03-31 16:01:19+00:00,2026-03-31 16:01:22+00:00,PA,US,paid,,9.99,0.0,6.95,9.99,0.0,0.0,16.94
fabric_outlet,7503940780305,#11777,2026-03-31 15:59:52+00:00,2026-03-31 15:59:55+00:00,PA,US,paid,,8.99,0.0,6.95,8.99,0.0,0.0,15.94
fabric_outlet,7503938486545,#11776,2026-03-31 15:58:42+00:00,2026-03-31 15:58:47+00:00,PA,US,paid,,8.99,0.0,6.95,8.99,0.0,0.0,15.94
fabric_outlet,7503888482577,#11775,2026-03-31 15:30:54+00:00,2026-03-31 15:30:57+00:00,LA,US,paid,,13.98,0.0,6.95,13.98,0.0,0.0,20.93
fabric_outlet,7503872065809,#11774,2026-03-31 15:22:01+00:00,2026-03-31 15:22:05+00:00,NC,US,paid,,94.91,0.0,0.0,94.91,0.0,0.0,94.91
fabric_outlet,7503840739601,#11773,2026-03-31 15:03:57+00:00,2026-03-31 15:04:01+00:00,AR,US,paid,,109.45,0.0,0.0,109.45,0.0,0.0,109.45
fabric_outlet,7503803285777,#11772,2026-03-31 14:42:56+00:00,2026-03-31 14:43:00+00:00,PA,US,paid,,19.99,0.0,6.95,19.99,0.0,0.0,26.94
fabric_outlet,7503803089169,#11771,2026-03-31 14:42:51+00:00,2026-03-31 14:42:54+00:00,MI,US,paid,,59.95,0.0,6.95,59.95,0.0,0.0,66.9
fabric_outlet,7503657599249,#11770,2026-03-31 13:13:11+00:00,2026-03-31 13:13:15+00:00,PA,US,paid,,19.99,0.0,6.95,19.99,0.0,0.0,26.94
fabric_outlet,7503451554065,#11769,2026-03-31 10:35:23+00:00,2026-03-31 10:35:26+00:00,TX,US,paid,,54.95,0.0,6.95,54.95,0.0,0.0,61.9
fabric_outlet,7503236432145,#11768,2026-03-31 07:14:06+00:00,2026-03-31 07:14:10+00:00,FL,US,paid,,29.97,0.0,6.95,29.97,0.0,0.0,36.92
fabric_outlet,7503170601233,#11767,2026-03-31 06:03:31+00:00,2026-03-31 06:03:35+00:00,GA,US,paid,,9.99,0.0,6.95,9.99,0.0,0.0,16.94
fabric_outlet,7503114797329,#11766,2026-03-31 04:53:38+00:00,2026-03-31 04:53:41+00:00,OR,US,paid,,34.47,0.0,6.95,34.47,0.0,0.0,41.42
fabric_outlet,7503102017809,#11765,2026-03-31 04:36:02+00:00,2026-03-31 04:36:06+00:00,CA,US,paid,,13.95,1.54,6.95,15.49,0.0,0.0,19.36
fabric_outlet,7503010038033,#11764,2026-03-31 02:57:15+00:00,2026-03-31 02:57:19+00:00,ND,US,paid,,32.99,0.0,6.95,32.99,0.0,0.0,39.94
fabric_outlet,7502995685649,#11763,2026-03-31 02:42:21+00:00,2026-03-31 02:42:24+00:00,MI,US,paid,,107.95,11.99,0.0,119.94,0.0,0.0,95.96
fabric_outlet,7502839906577,#11762,2026-03-31 00:08:05+00:00,2026-03-31 00:08:12+00:00,TX,US,paid,,48.58,5.39,6.95,53.97,0.0,0.0,50.14
fabric_outlet,7502838890769,#11761,2026-03-31 00:07:21+00:00,2026-03-31 00:07:23+00:00,CA,US,paid,,129.36,0.0,0.0,96.37,32.99,0.0,129.36
fabric_outlet,7502833615121,#11760,2026-03-31 00:03:34+00:00,2026-03-31 00:03:38+00:00,MT,US,paid,,19.99,0.0,6.95,19.99,0.0,0.0,26.94
fabric_outlet,7502797078801,#11759,2026-03-30 23:29:10+00:00,2026-03-30 23:29:14+00:00,NC,US,paid,,40.44,0.0,6.95,40.44,0.0,0.0,47.39
fabric_outlet,7502743503121,#11758,2026-03-30 22:42:17+00:00,2026-03-30 22:42:20+00:00,AZ,US,paid,,179.35,0.0,0.0,179.35,0.0,0.0,179.35
fabric_outlet,7502631829777,#11757,2026-03-30 21:33:09+00:00,2026-03-30 21:33:12+00:00,WI,US,paid,,47.95,0.0,6.95,38.96,8.99,0.0,54.9
fabric_outlet,7502519468305,#11756,2026-03-30 20:30:02+00:00,2026-03-30 20:30:03+00:00,OH,US,paid,,19.99,0.0,6.95,19.99,0.0,0.0,26.94
fabric_outlet,7502464549137,#11755,2026-03-30 20:01:41+00:00,2026-03-30 20:01:45+00:00,AL,US,paid,,32.39,3.59,6.95,35.98,0.0,0.0,35.75
fabric_outlet,7502440956177,#11754,2026-03-30 19:49:08+00:00,2026-03-30 19:49:10+00:00,AZ,US,paid,,84.1,9.34,0.0,69.95,23.49,0.0,74.76
fabric_outlet,7502371488017,#11753,2026-03-30 19:11:53+00:00,2026-03-30 19:11:57+00:00,WA,US,paid,,8.99,0.0,6.95,8.99,0.0,1.67,15.94
fabric_outlet,7502220394769,#11752,2026-03-30 17:59:26+00:00,2026-03-30 17:59:29+00:00,KY,US,paid,,76.9,8.54,0.0,85.44,0.0,0.0,68.36
fabric_outlet,7502175076625,#11751,2026-03-30 17:35:05+00:00,2026-03-30 17:35:07+00:00,TX,US,paid,,59.95,0.0,6.95,59.95,0.0,0.0,66.9
fabric_outlet,7502043545873,#11750,2026-03-30 16:23:22+00:00,2026-03-30 16:23:25+00:00,OK,US,paid,,29.97,0.0,6.95,29.97,0.0,0.0,36.92
