store_id,order_id,order_name,refund_id,processed_at,created_at,state,country,refund_amount,tax_refunded
shiplap_quilt,6590861148365,#48343,1020693938381,2026-03-26 18:19:40+00:00,2026-03-26 18:19:40+00:00,MO,US,9.56,0.0
shiplap_quilt,6590812946637,#48340,1020698919117,2026-03-26 22:39:53+00:00,2026-03-26 22:39:53+00:00,TN,US,0.0,0.0
shiplap_quilt,6590781685965,#48337,1020694397133,2026-03-26 18:51:16+00:00,2026-03-26 18:51:16+00:00,FL,US,40.85,0.0
shiplap_quilt,6590677811405,#48328,1020579152077,2026-03-23 18:34:34+00:00,2026-03-23 18:34:34+00:00,TX,US,0.0,0.0
shiplap_quilt,6590473601229,#48315,1020801876173,2026-03-30 21:15:11+00:00,2026-03-30 21:15:11+00:00,KS,US,9.96,0.0
shiplap_quilt,6590044274893,#48275,1020698984653,2026-03-26 22:47:04+00:00,2026-03-26 22:47:04+00:00,CA,US,0.0,0.0
shiplap_quilt,6590006264013,#48268,1020696527053,2026-03-26 20:21:48+00:00,2026-03-26 20:21:48+00:00,MO,US,14.0,0.0
shiplap_quilt,6589950394573,#48263,1020506603725,2026-03-20 16:42:08+00:00,2026-03-20 16:42:08+00:00,TX,US,0.0,0.0
shiplap_quilt,6589145743565,#48248,1020584886477,2026-03-23 23:41:48+00:00,2026-03-23 23:41:48+00:00,CO,US,5.97,0.0
shiplap_quilt,6586937245901,#48127,1020584919245,2026-03-23 23:46:52+00:00,2026-03-23 23:46:52+00:00,AL,US,0.0,0.0
shiplap_quilt,6586871709901,#48116,1020571484365,2026-03-23 16:29:57+00:00,2026-03-23 16:29:57+00:00,NC,US,4.98,0.0
shiplap_quilt,6586620608717,#48099,1020353806541,2026-03-16 23:58:21+00:00,2026-03-16 23:58:21+00:00,OR,US,-6.95,0.0
shiplap_quilt,6586593804493,#48098,1020448276685,2026-03-19 16:32:40+00:00,2026-03-19 16:32:40+00:00,KS,US,93.6,0.0
shiplap_quilt,6586301219021,#48084,1020388868301,2026-03-17 20:12:55+00:00,2026-03-17 20:12:55+00:00,VA,US,10.75,0.0
shiplap_quilt,6586301219021,#48084,1020388933837,2026-03-17 20:13:17+00:00,2026-03-17 20:13:17+00:00,VA,US,0.0,0.0
shiplap_quilt,6585554141389,#47968,1020423733453,2026-03-18 20:41:10+00:00,2026-03-18 20:41:10+00:00,ND,US,29.85,0.0
shiplap_quilt,6585554141389,#47968,1020427174093,2026-03-19 00:17:36+00:00,2026-03-19 00:17:36+00:00,ND,US,35.82,0.0
shiplap_quilt,6585201852621,#47957,1020280176845,2026-03-13 22:36:35+00:00,2026-03-13 22:36:35+00:00,WA,US,0.0,0.0
shiplap_quilt,6585197625549,#47956,1020280111309,2026-03-13 22:28:15+00:00,2026-03-13 22:28:15+00:00,FL,US,0.0,0.0
shiplap_quilt,6584891834573,#47928,1020304785613,2026-03-14 17:41:27+00:00,2026-03-14 17:41:27+00:00,OR,US,-6.95,0.0
shiplap_quilt,6584876925133,#47923,1020304851149,2026-03-14 17:41:48+00:00,2026-03-14 17:41:48+00:00,OR,US,-6.95,0.0
shiplap_quilt,6584657805517,#47892,1020469018829,2026-03-19 22:07:46+00:00,2026-03-19 22:07:46+00:00,UT,US,8.96,0.65
shiplap_quilt,6584491606221,#47884,1020305473741,2026-03-14 18:09:30+00:00,2026-03-14 18:09:30+00:00,IA,US,0.0,0.0
shiplap_quilt,6584353390797,#47870,1020242428109,2026-03-12 18:22:26+00:00,2026-03-12 18:22:26+00:00,UT,US,67.87,5.05
shiplap_quilt,6584349229261,#47868,1020243280077,2026-03-12 19:20:04+00:00,2026-03-12 19:20:04+00:00,WA,US,103.64,10.93
shiplap_quilt,6584232706253,#47857,1020304556237,2026-03-14 17:24:44+00:00,2026-03-14 17:24:44+00:00,IL,US,11.95,0.87
shiplap_quilt,6583901946061,#47840,1020304720077,2026-03-14 17:37:51+00:00,2026-03-14 17:37:51+00:00,CA,US,15.9,0.0
shiplap_quilt,6583879631053,#47836,1020181807309,2026-03-11 22:50:39+00:00,2026-03-11 22:50:39+00:00,CA,US,25.11,0.0
shiplap_quilt,6583879631053,#47836,1020181840077,2026-03-11 22:51:07+00:00,2026-03-11 22:51:07+00:00,CA,US,0.0,0.0
shiplap_quilt,6582873424077,#47773,1020305506509,2026-03-14 18:12:16+00:00,2026-03-14 18:12:16+00:00,IN,US,0.0,0.0
shiplap_quilt,6581747744973,#47736,1020125905101,2026-03-10 18:02:26+00:00,2026-03-10 18:02:26+00:00,UT,US,0.0,0.0
shiplap_quilt,6581424685261,#47708,1020350365901,2026-03-16 19:10:39+00:00,2026-03-16 19:10:39+00:00,FL,US,0.0,0.0
shiplap_quilt,6581329789133,#47699,1020125249741,2026-03-10 17:48:35+00:00,2026-03-10 17:48:35+00:00,MO,US,0.0,0.0
shiplap_quilt,6580172062925,#47646,1019827617997,2026-03-07 19:19:58+00:00,2026-03-07 19:19:58+00:00,,,60.0,5.7
shiplap_quilt,6579649478861,#47614,1019951349965,2026-03-10 00:11:55+00:00,2026-03-10 00:11:55+00:00,NY,US,0.0,0.0
shiplap_quilt,6579629719757,#47609,1019951317197,2026-03-10 00:11:54+00:00,2026-03-10 00:11:54+00:00,NY,US,0.0,0.0
shiplap_quilt,6579516965069,#47596,1019921170637,2026-03-09 16:42:38+00:00,2026-03-09 16:42:38+00:00,IL,US,109.95,6.87
shiplap_quilt,6578421104845,#47519,1019710111949,2026-03-04 23:41:00+00:00,2026-03-04 23:41:00+00:00,TX,US,0.0,0.0
shiplap_quilt,6577298211021,#47454,1019732623565,2026-03-05 17:17:28+00:00,2026-03-05 17:17:28+00:00,IA,US,116.77,0.0
shiplap_quilt,6576067150029,#47395,1019618623693,2026-03-02 17:52:06+00:00,2026-03-02 17:52:06+00:00,CA,US,18.95,0.0
